Travel_ID,Traveler_Name,Gender,Age,Country,City,Travel_Type,Transport_Mode,Booking_Source,Travel_Month,Travel_Year,Stay_Days,Travel_Cost,Hotel_Type,Rating,Season
T0513,Traveler_513,Male,20,Thailand,Singapore,Leisure,Flight,Online,April,2022,6,59155,Budget,4,Summer
T0514,Traveler_514,Female,35,UAE,London,Business,Train,Online,September,2024,8,15867,Luxury,5,Monsoon
T0515,Traveler_515,Female,42,India,Goa,Business,Flight,Online,September,2024,7,63547,Standard,3,Summer
T0516,Traveler_516,Male,33,USA,Dubai,Business,Flight,Agent,May,2023,6,97158,Budget,3,Winter
T0517,Traveler_517,Female,27,Italy,Rome,Business,Bus,Online,May,2023,10,68792,Luxury,4,Summer
T0518,Traveler_518,Male,41,Singapore,Singapore,Leisure,Train,Online,October,2024,4,51354,Standard,3,Monsoon
T0519,Traveler_519,Female,59,Italy,New York,Business,Train,Agent,August,2024,7,19743,Luxury,4,Winter
T0520,Traveler_520,Male,48,UAE,London,Leisure,Train,Online,April,2023,2,93595,Standard,4,Summer
T0521,Traveler_521,Female,18,Singapore,Paris,Business,Flight,Agent,April,2023,5,93034,Standard,3,Winter
T0522,Traveler_522,Female,40,UK,Dubai,Business,Train,Online,January,2024,5,64599,Standard,5,Winter
T0523,Traveler_523,Male,18,UK,New York,Business,Flight,Agent,July,2023,8,73867,Luxury,5,Monsoon
T0524,Traveler_524,Female,46,France,London,Business,Train,Online,September,2022,7,117948,Luxury,5,Winter
T0525,Traveler_525,Male,50,India,London,Leisure,Bus,Agent,January,2022,8,54386,Luxury,4,Winter
T0526,Traveler_526,Male,31,USA,Berlin,Business,Bus,Agent,May,2024,3,99918,Standard,5,Summer
T0527,Traveler_527,Female,27,Germany,Paris,Business,Flight,Online,December,2022,9,110022,Budget,3,Winter
T0528,Traveler_528,Female,60,Italy,New York,Leisure,Flight,Online,April,2023,6,77228,Budget,5,Summer
T0529,Traveler_529,Female,57,Italy,Dubai,Leisure,Train,Online,February,2022,2,39623,Budget,3,Summer
T0530,Traveler_530,Female,47,France,Goa,Leisure,Bus,Agent,May,2024,6,25931,Budget,5,Winter
T0531,Traveler_531,Female,39,UK,Paris,Leisure,Flight,Online,December,2024,10,81050,Standard,3,Monsoon
T0532,Traveler_532,Male,41,Thailand,Rome,Business,Train,Agent,May,2022,2,52783,Budget,3,Summer
T0533,Traveler_533,Male,51,UAE,London,Leisure,Train,Agent,November,2024,9,110529,Budget,4,Monsoon
T0534,Traveler_534,Female,25,France,Paris,Business,Bus,Agent,July,2022,7,81823,Budget,4,Winter
T0535,Traveler_535,Male,30,France,Sydney,Business,Bus,Online,October,2023,3,51185,Standard,4,Summer
T0536,Traveler_536,Female,53,UK,Rome,Leisure,Train,Agent,July,2024,10,108967,Standard,5,Summer
T0537,Traveler_537,Male,53,USA,Singapore,Leisure,Bus,Agent,January,2024,7,88232,Budget,4,Monsoon
T0538,Traveler_538,Female,42,Italy,Sydney,Leisure,Flight,Online,February,2022,5,85922,Budget,3,Monsoon
T0539,Traveler_539,Male,37,UAE,Goa,Business,Train,Online,September,2024,8,46050,Budget,5,Winter
T0540,Traveler_540,Male,59,Germany,Berlin,Leisure,Bus,Agent,April,2022,4,64528,Standard,5,Monsoon
T0541,Traveler_541,Male,52,UK,Goa,Business,Train,Agent,April,2024,8,44845,Standard,5,Summer
T0542,Traveler_542,Male,35,Italy,New York,Business,Train,Online,November,2023,9,60107,Standard,3,Winter
T0543,Traveler_543,Female,19,Italy,New York,Leisure,Flight,Agent,November,2023,2,82349,Budget,4,Monsoon
T0544,Traveler_544,Female,40,Singapore,Goa,Leisure,Bus,Online,July,2023,2,102644,Luxury,4,Monsoon
T0545,Traveler_545,Male,50,UK,Rome,Business,Flight,Agent,November,2023,5,22226,Luxury,5,Winter
T0546,Traveler_546,Male,38,USA,Paris,Business,Bus,Online,May,2023,10,63412,Budget,4,Monsoon
T0547,Traveler_547,Male,54,France,Singapore,Leisure,Flight,Agent,May,2023,3,81679,Budget,3,Monsoon
T0548,Traveler_548,Male,19,Germany,London,Leisure,Train,Agent,October,2024,3,103486,Budget,5,Monsoon
T0549,Traveler_549,Male,22,UK,Rome,Business,Train,Agent,June,2022,6,31339,Luxury,5,Summer
T0550,Traveler_550,Male,56,Thailand,Rome,Leisure,Flight,Agent,September,2023,8,50894,Budget,4,Monsoon
T0551,Traveler_551,Male,47,UK,Singapore,Leisure,Flight,Online,April,2024,7,92778,Luxury,5,Summer
T0552,Traveler_552,Female,30,USA,Dubai,Leisure,Train,Agent,June,2022,2,108542,Budget,5,Summer
T0553,Traveler_553,Female,18,Italy,Berlin,Business,Train,Online,January,2022,9,69568,Standard,5,Monsoon
T0554,Traveler_554,Female,34,India,Berlin,Leisure,Flight,Online,May,2022,7,50849,Standard,5,Monsoon
T0555,Traveler_555,Female,34,Thailand,Bangkok,Business,Flight,Online,January,2022,9,72233,Budget,4,Monsoon
T0556,Traveler_556,Female,21,Germany,London,Business,Train,Agent,June,2024,9,114246,Luxury,4,Monsoon
T0557,Traveler_557,Female,41,UK,Paris,Business,Bus,Agent,August,2022,10,31225,Standard,3,Monsoon
T0558,Traveler_558,Female,60,Italy,Bangkok,Leisure,Train,Online,April,2022,8,57302,Luxury,4,Summer
T0559,Traveler_559,Male,31,India,Paris,Business,Bus,Online,October,2024,6,92896,Standard,5,Winter
T0560,Traveler_560,Female,25,UAE,New York,Leisure,Flight,Online,November,2022,2,93973,Budget,3,Monsoon
T0561,Traveler_561,Male,60,UAE,Goa,Business,Train,Agent,October,2024,10,54652,Luxury,4,Summer
T0562,Traveler_562,Male,53,Italy,Bangkok,Leisure,Flight,Agent,April,2023,10,86021,Luxury,3,Winter
T0563,Traveler_563,Female,57,France,Berlin,Leisure,Flight,Agent,September,2024,2,111989,Luxury,5,Winter
T0564,Traveler_564,Male,44,Germany,Rome,Leisure,Flight,Agent,November,2024,6,55490,Budget,4,Summer
T0565,Traveler_565,Male,60,UAE,Goa,Leisure,Flight,Online,May,2024,2,72871,Standard,4,Monsoon
T0566,Traveler_566,Female,59,France,Goa,Business,Flight,Online,October,2024,8,103199,Standard,3,Winter
T0567,Traveler_567,Male,37,UAE,Singapore,Business,Train,Online,October,2023,3,82906,Budget,5,Winter
T0568,Traveler_568,Female,34,Australia,Rome,Leisure,Flight,Online,December,2022,6,72501,Luxury,4,Summer
T0569,Traveler_569,Female,19,Thailand,Goa,Leisure,Train,Online,December,2024,10,116531,Luxury,5,Winter
T0570,Traveler_570,Female,41,Germany,New York,Business,Train,Agent,July,2023,5,15585,Luxury,3,Summer
T0571,Traveler_571,Male,27,France,Sydney,Leisure,Train,Agent,September,2024,6,72478,Luxury,5,Winter
T0572,Traveler_572,Male,52,Germany,London,Business,Train,Online,July,2022,9,87965,Luxury,5,Summer
T0573,Traveler_573,Male,57,Singapore,Rome,Leisure,Flight,Agent,June,2024,4,65526,Luxury,3,Monsoon
T0574,Traveler_574,Female,24,Singapore,Dubai,Leisure,Train,Online,July,2024,4,19539,Luxury,3,Winter
T0575,Traveler_575,Female,39,Germany,Rome,Leisure,Flight,Agent,June,2023,5,34964,Standard,3,Summer
T0576,Traveler_576,Male,20,UAE,Dubai,Business,Train,Online,June,2023,10,30745,Budget,3,Monsoon
T0577,Traveler_577,Female,46,Italy,Singapore,Leisure,Flight,Online,March,2023,5,97635,Luxury,5,Winter
T0578,Traveler_578,Female,27,France,Singapore,Business,Flight,Online,April,2024,3,92234,Budget,4,Summer
T0579,Traveler_579,Female,23,USA,Dubai,Business,Bus,Online,June,2022,2,36440,Luxury,3,Summer
T0580,Traveler_580,Male,23,Singapore,Dubai,Leisure,Flight,Agent,May,2024,7,15913,Luxury,4,Monsoon
T0581,Traveler_581,Male,21,Australia,Sydney,Leisure,Flight,Agent,August,2022,10,56753,Standard,4,Winter
T0582,Traveler_582,Female,40,India,London,Business,Flight,Online,July,2022,6,106589,Standard,5,Winter
T0583,Traveler_583,Female,41,Thailand,Bangkok,Leisure,Bus,Agent,May,2022,2,41610,Budget,3,Winter
T0584,Traveler_584,Female,54,India,Berlin,Leisure,Train,Agent,November,2023,6,47660,Standard,5,Winter
T0585,Traveler_585,Male,40,Italy,Paris,Business,Train,Online,March,2024,10,103146,Standard,5,Summer
T0586,Traveler_586,Male,22,Germany,Singapore,Leisure,Bus,Agent,February,2022,3,97315,Standard,4,Monsoon
T0587,Traveler_587,Male,48,Australia,Rome,Leisure,Flight,Agent,March,2023,3,35818,Standard,3,Summer
T0588,Traveler_588,Female,34,Germany,New York,Business,Bus,Online,June,2022,3,92682,Budget,5,Summer
T0589,Traveler_589,Male,39,USA,Bangkok,Leisure,Train,Agent,December,2023,8,104423,Luxury,3,Monsoon
T0590,Traveler_590,Male,45,India,Singapore,Business,Bus,Agent,July,2022,4,46554,Luxury,4,Winter
T0591,Traveler_591,Male,40,India,Sydney,Leisure,Bus,Online,February,2022,5,29581,Luxury,3,Summer
T0592,Traveler_592,Female,50,Thailand,London,Leisure,Flight,Online,March,2024,4,118973,Standard,5,Summer
T0593,Traveler_593,Female,28,Singapore,Berlin,Leisure,Bus,Online,November,2022,6,18747,Budget,3,Winter
T0594,Traveler_594,Male,59,USA,Goa,Leisure,Flight,Online,October,2023,9,83155,Budget,4,Winter
T0595,Traveler_595,Female,42,Australia,Paris,Leisure,Bus,Online,June,2023,7,85584,Luxury,4,Winter
T0596,Traveler_596,Female,32,UAE,Paris,Business,Bus,Agent,December,2022,4,20135,Standard,5,Summer
T0597,Traveler_597,Male,51,Italy,Berlin,Business,Train,Online,August,2023,6,69374,Budget,5,Winter
T0598,Traveler_598,Female,26,Germany,Bangkok,Leisure,Flight,Online,January,2024,5,106573,Standard,5,Winter
T0599,Traveler_599,Female,39,Thailand,Singapore,Business,Bus,Online,March,2023,6,24947,Luxury,5,Winter
T0600,Traveler_600,Female,34,UK,New York,Leisure,Train,Online,March,2022,4,64199,Luxury,5,Monsoon
T0601,Traveler_601,Female,40,USA,Sydney,Leisure,Flight,Online,April,2024,7,29232,Standard,4,Summer
T0602,Traveler_602,Female,31,India,Sydney,Business,Flight,Online,June,2022,7,84520,Standard,3,Monsoon
T0603,Traveler_603,Male,49,Australia,Rome,Business,Flight,Agent,October,2024,3,19597,Standard,3,Summer
T0604,Traveler_604,Male,23,Thailand,Paris,Leisure,Bus,Online,July,2024,5,35110,Luxury,5,Summer
T0605,Traveler_605,Female,60,UAE,Sydney,Leisure,Flight,Agent,July,2023,7,113508,Luxury,3,Monsoon
T0606,Traveler_606,Male,30,Australia,Goa,Leisure,Flight,Online,July,2023,7,76241,Budget,4,Summer
T0607,Traveler_607,Male,46,USA,Rome,Leisure,Flight,Agent,June,2023,8,33332,Budget,5,Winter
T0608,Traveler_608,Female,31,Germany,Sydney,Business,Flight,Agent,April,2023,2,49515,Budget,4,Summer
T0609,Traveler_609,Male,56,Thailand,Bangkok,Business,Train,Agent,March,2023,10,38112,Budget,3,Monsoon
T0610,Traveler_610,Female,43,Italy,Bangkok,Business,Bus,Agent,April,2024,6,57397,Budget,3,Winter
T0611,Traveler_611,Male,54,Australia,Singapore,Business,Train,Agent,July,2024,7,102348,Standard,4,Winter
T0612,Traveler_612,Female,20,UAE,London,Business,Flight,Agent,November,2024,5,98862,Standard,4,Summer
T0613,Traveler_613,Male,33,UAE,Paris,Business,Train,Agent,April,2024,2,98363,Budget,3,Summer
T0614,Traveler_614,Male,47,UAE,London,Business,Train,Agent,September,2022,6,30561,Budget,4,Winter
T0615,Traveler_615,Female,30,Australia,Paris,Business,Bus,Agent,April,2022,4,30550,Standard,4,Monsoon
T0616,Traveler_616,Female,52,Australia,Bangkok,Business,Flight,Agent,July,2024,9,113300,Luxury,4,Winter
T0617,Traveler_617,Male,24,Thailand,Singapore,Leisure,Bus,Online,November,2022,3,98895,Luxury,5,Summer
T0618,Traveler_618,Male,56,Germany,Paris,Business,Flight,Agent,August,2024,4,114854,Budget,3,Summer
T0619,Traveler_619,Male,59,UK,Goa,Leisure,Flight,Agent,February,2022,8,76401,Budget,3,Monsoon
T0620,Traveler_620,Male,42,Australia,Singapore,Business,Bus,Online,October,2023,8,52139,Luxury,5,Winter
T0621,Traveler_621,Male,53,Germany,Paris,Leisure,Flight,Agent,April,2024,10,104512,Standard,5,Summer
T0622,Traveler_622,Female,49,Australia,New York,Business,Flight,Online,June,2022,8,108265,Budget,4,Winter
T0623,Traveler_623,Female,20,Thailand,Rome,Leisure,Train,Agent,April,2023,2,83378,Standard,5,Monsoon
T0624,Traveler_624,Female,54,Thailand,Rome,Leisure,Bus,Online,May,2022,9,104676,Standard,3,Monsoon
T0625,Traveler_625,Male,57,Germany,Bangkok,Leisure,Train,Agent,March,2022,6,102792,Standard,5,Winter
T0626,Traveler_626,Female,46,Singapore,Rome,Leisure,Bus,Agent,October,2024,2,60000,Budget,3,Winter
T0627,Traveler_627,Female,27,France,Sydney,Leisure,Flight,Online,September,2022,4,38409,Standard,4,Summer
T0628,Traveler_628,Male,32,Italy,Dubai,Business,Flight,Agent,February,2023,6,63293,Luxury,3,Winter
T0629,Traveler_629,Female,57,France,London,Leisure,Flight,Online,July,2023,10,22181,Budget,4,Winter
T0630,Traveler_630,Male,46,UAE,Berlin,Leisure,Flight,Online,December,2023,6,34277,Budget,4,Monsoon
T0631,Traveler_631,Female,43,Australia,Bangkok,Business,Bus,Online,July,2024,7,92789,Luxury,5,Winter
T0632,Traveler_632,Male,39,UAE,Bangkok,Business,Flight,Agent,May,2024,7,54308,Budget,3,Summer
T0633,Traveler_633,Male,50,Singapore,Berlin,Business,Bus,Agent,June,2022,9,110737,Luxury,4,Winter
T0634,Traveler_634,Female,19,UAE,Goa,Leisure,Train,Online,July,2024,4,75217,Luxury,3,Winter
T0635,Traveler_635,Female,31,India,London,Leisure,Flight,Agent,November,2023,10,96716,Budget,3,Monsoon
T0636,Traveler_636,Male,43,UAE,Rome,Business,Bus,Agent,August,2022,2,86405,Standard,5,Winter
T0637,Traveler_637,Male,43,Italy,Bangkok,Business,Bus,Agent,November,2023,10,58226,Budget,3,Winter
T0638,Traveler_638,Male,25,Germany,Goa,Business,Bus,Agent,December,2024,3,68507,Luxury,3,Summer
T0639,Traveler_639,Female,57,UAE,Singapore,Leisure,Train,Agent,September,2022,7,20225,Standard,5,Monsoon
T0640,Traveler_640,Male,47,UK,Sydney,Leisure,Train,Online,January,2022,3,51468,Standard,3,Winter
T0641,Traveler_641,Female,34,India,Berlin,Leisure,Train,Online,May,2024,2,118264,Budget,4,Monsoon
T0642,Traveler_642,Female,34,Singapore,Rome,Business,Flight,Online,April,2023,6,22638,Luxury,5,Monsoon
T0643,Traveler_643,Female,47,France,New York,Business,Bus,Online,September,2023,6,25909,Standard,5,Summer
T0644,Traveler_644,Male,54,Singapore,Paris,Leisure,Train,Agent,January,2023,2,49273,Luxury,3,Summer
T0645,Traveler_645,Female,21,Thailand,Dubai,Leisure,Train,Online,April,2024,5,61434,Budget,5,Monsoon
T0646,Traveler_646,Female,19,Singapore,London,Leisure,Train,Agent,October,2024,2,94265,Luxury,3,Winter
T0647,Traveler_647,Female,21,Italy,Rome,Business,Flight,Agent,July,2023,2,20092,Standard,5,Monsoon
T0648,Traveler_648,Female,39,India,Rome,Business,Bus,Agent,January,2023,3,43778,Luxury,3,Monsoon
T0649,Traveler_649,Female,45,Singapore,Berlin,Leisure,Bus,Agent,June,2023,7,91602,Budget,4,Winter
T0650,Traveler_650,Male,31,UK,London,Leisure,Flight,Online,October,2024,5,69819,Budget,5,Monsoon
T0651,Traveler_651,Female,24,Singapore,Sydney,Business,Flight,Online,September,2022,4,118527,Standard,4,Monsoon
T0652,Traveler_652,Female,34,France,Rome,Business,Bus,Online,May,2024,8,23640,Standard,3,Monsoon
T0653,Traveler_653,Female,28,Singapore,Rome,Business,Flight,Online,February,2024,2,106758,Standard,5,Winter
T0654,Traveler_654,Male,48,USA,Rome,Business,Train,Online,February,2022,6,70999,Luxury,5,Winter
T0655,Traveler_655,Female,53,India,Paris,Business,Train,Online,November,2023,2,111204,Budget,5,Summer
T0656,Traveler_656,Female,60,Thailand,Berlin,Leisure,Flight,Agent,October,2024,7,51474,Luxury,4,Winter
T0657,Traveler_657,Female,24,France,Goa,Leisure,Train,Online,February,2024,7,46725,Budget,4,Summer
T0658,Traveler_658,Male,54,India,Sydney,Business,Flight,Online,April,2022,9,92686,Standard,3,Monsoon
T0659,Traveler_659,Male,21,UAE,London,Leisure,Bus,Online,January,2022,9,54053,Budget,4,Monsoon
T0660,Traveler_660,Male,34,UAE,London,Leisure,Flight,Agent,February,2024,6,33299,Luxury,4,Summer
T0661,Traveler_661,Female,60,Singapore,Berlin,Leisure,Train,Online,October,2023,3,46604,Standard,5,Winter
T0662,Traveler_662,Female,26,Australia,Berlin,Leisure,Train,Online,October,2024,2,103289,Luxury,5,Monsoon
T0663,Traveler_663,Female,35,Thailand,London,Business,Train,Online,October,2023,9,35381,Luxury,5,Monsoon
T0664,Traveler_664,Male,22,India,Dubai,Business,Bus,Online,March,2024,7,48523,Standard,5,Monsoon
T0665,Traveler_665,Male,57,Italy,Sydney,Leisure,Train,Agent,January,2022,7,102212,Budget,5,Winter
T0666,Traveler_666,Male,25,Singapore,Goa,Leisure,Train,Online,July,2022,10,33181,Budget,3,Winter
T0667,Traveler_667,Male,60,Australia,Berlin,Leisure,Bus,Agent,March,2023,7,17927,Luxury,3,Summer
T0668,Traveler_668,Female,33,Australia,Berlin,Business,Flight,Agent,February,2022,5,66796,Budget,4,Summer
T0669,Traveler_669,Female,31,USA,New York,Business,Bus,Agent,August,2022,8,59266,Budget,5,Summer
T0670,Traveler_670,Female,30,Thailand,Dubai,Business,Flight,Agent,April,2024,7,22529,Standard,4,Monsoon
T0671,Traveler_671,Male,58,UK,Rome,Leisure,Train,Agent,July,2022,3,104203,Budget,4,Winter
T0672,Traveler_672,Male,47,India,London,Leisure,Bus,Online,January,2024,8,116614,Standard,5,Winter
T0673,Traveler_673,Male,44,Italy,New York,Business,Bus,Agent,February,2023,5,69091,Luxury,4,Monsoon
T0674,Traveler_674,Female,40,UAE,Bangkok,Leisure,Train,Agent,September,2024,4,17483,Budget,3,Monsoon
T0675,Traveler_675,Male,60,Italy,Paris,Business,Bus,Agent,February,2024,6,69022,Standard,5,Winter
T0676,Traveler_676,Female,53,Australia,Paris,Leisure,Train,Agent,April,2024,9,49546,Standard,5,Summer
T0677,Traveler_677,Female,59,Thailand,Bangkok,Leisure,Bus,Online,December,2024,4,34176,Standard,3,Summer
T0678,Traveler_678,Male,34,Thailand,Paris,Leisure,Train,Agent,January,2022,4,101109,Budget,3,Monsoon
T0679,Traveler_679,Female,22,Thailand,Sydney,Leisure,Train,Agent,March,2023,7,39557,Standard,4,Winter
T0680,Traveler_680,Male,58,Thailand,Paris,Business,Train,Online,February,2024,10,43737,Standard,4,Summer
T0681,Traveler_681,Female,20,Thailand,London,Leisure,Bus,Online,July,2024,10,42216,Standard,4,Winter
T0682,Traveler_682,Male,52,UAE,Singapore,Business,Bus,Online,August,2022,9,82257,Luxury,5,Monsoon
T0683,Traveler_683,Male,54,Thailand,London,Business,Flight,Online,March,2022,7,110006,Budget,4,Summer
T0684,Traveler_684,Male,24,Italy,Paris,Business,Bus,Online,August,2024,5,28159,Standard,3,Monsoon
T0685,Traveler_685,Male,43,UAE,Goa,Business,Bus,Online,March,2024,3,15785,Standard,3,Summer
T0686,Traveler_686,Female,60,UK,Rome,Leisure,Bus,Agent,August,2024,4,87861,Standard,3,Winter
T0687,Traveler_687,Female,24,India,Bangkok,Leisure,Bus,Online,May,2024,9,22664,Budget,5,Winter
T0688,Traveler_688,Female,34,UK,Paris,Leisure,Bus,Online,January,2023,5,45299,Budget,5,Winter
T0689,Traveler_689,Male,40,USA,Dubai,Leisure,Flight,Agent,May,2023,10,102054,Luxury,5,Summer
T0690,Traveler_690,Female,56,Singapore,Berlin,Business,Bus,Online,July,2022,6,33300,Standard,5,Monsoon
T0691,Traveler_691,Male,46,USA,London,Business,Train,Agent,October,2024,3,119920,Luxury,4,Monsoon
T0692,Traveler_692,Female,32,India,Sydney,Business,Flight,Agent,October,2022,2,28848,Standard,4,Summer
T0693,Traveler_693,Female,38,Thailand,Rome,Business,Bus,Agent,April,2023,5,115839,Standard,3,Winter
T0694,Traveler_694,Male,44,India,Rome,Leisure,Bus,Online,January,2024,3,72808,Budget,4,Monsoon
T0695,Traveler_695,Female,30,Australia,Dubai,Business,Train,Agent,January,2022,7,19559,Standard,3,Winter
T0696,Traveler_696,Female,34,Australia,London,Leisure,Flight,Agent,September,2024,8,71471,Standard,4,Winter
T0697,Traveler_697,Male,49,Germany,Dubai,Business,Flight,Agent,October,2022,8,76501,Luxury,3,Monsoon
T0698,Traveler_698,Female,25,UAE,Rome,Business,Flight,Agent,January,2024,10,84845,Luxury,3,Summer
T0699,Traveler_699,Female,43,UK,Berlin,Leisure,Train,Agent,February,2023,10,99847,Standard,5,Winter
T0700,Traveler_700,Female,39,Germany,New York,Business,Bus,Online,August,2024,9,41559,Standard,4,Winter
T0701,Traveler_701,Male,22,UK,Rome,Business,Bus,Online,July,2024,2,76904,Luxury,4,Monsoon
T0702,Traveler_702,Male,22,USA,Rome,Business,Bus,Agent,April,2022,2,44986,Budget,5,Winter
T0703,Traveler_703,Male,31,UK,London,Leisure,Flight,Agent,January,2023,5,54090,Luxury,4,Winter
T0704,Traveler_704,Male,24,Italy,London,Business,Bus,Online,October,2024,10,97470,Standard,3,Winter
T0705,Traveler_705,Female,47,Thailand,Paris,Leisure,Bus,Online,January,2024,10,112274,Standard,5,Monsoon
T0706,Traveler_706,Male,42,France,Paris,Business,Flight,Online,September,2023,6,103999,Budget,5,Monsoon
T0707,Traveler_707,Male,46,Italy,Paris,Business,Flight,Agent,January,2023,5,48058,Luxury,5,Summer
T0708,Traveler_708,Male,36,Thailand,Goa,Business,Bus,Agent,November,2022,8,106845,Budget,3,Monsoon
T0709,Traveler_709,Female,20,Singapore,London,Leisure,Bus,Online,November,2023,9,46640,Standard,3,Winter
T0710,Traveler_710,Male,50,Australia,Singapore,Business,Flight,Online,April,2022,2,68321,Standard,3,Winter
T0711,Traveler_711,Male,52,USA,New York,Business,Train,Online,February,2024,7,62937,Standard,4,Winter
T0712,Traveler_712,Male,57,USA,New York,Leisure,Flight,Online,July,2023,8,118282,Standard,3,Winter
T0713,Traveler_713,Male,29,UAE,Rome,Leisure,Flight,Agent,June,2023,9,33290,Budget,3,Summer
T0714,Traveler_714,Female,39,Australia,Berlin,Leisure,Train,Agent,August,2023,2,105704,Budget,5,Summer
T0715,Traveler_715,Female,54,USA,Berlin,Leisure,Train,Agent,October,2023,2,86328,Budget,4,Summer
T0716,Traveler_716,Male,30,France,Berlin,Leisure,Bus,Agent,March,2023,6,21069,Budget,4,Winter
T0717,Traveler_717,Male,59,Singapore,London,Business,Flight,Agent,February,2023,3,18395,Luxury,5,Monsoon
T0718,Traveler_718,Female,47,Australia,London,Leisure,Train,Agent,January,2024,7,90225,Standard,3,Winter
T0719,Traveler_719,Male,45,France,Rome,Leisure,Train,Online,April,2024,8,93778,Luxury,4,Monsoon
T0720,Traveler_720,Male,20,USA,Goa,Leisure,Flight,Agent,June,2022,6,102720,Budget,4,Monsoon
T0721,Traveler_721,Male,45,Australia,Rome,Business,Flight,Online,October,2023,9,103977,Budget,4,Winter
T0722,Traveler_722,Female,28,USA,Singapore,Leisure,Train,Online,July,2023,7,20159,Standard,4,Winter
T0723,Traveler_723,Female,53,Australia,New York,Business,Bus,Online,March,2022,6,29159,Standard,3,Summer
T0724,Traveler_724,Male,58,Germany,Paris,Leisure,Train,Agent,July,2023,10,75874,Standard,4,Monsoon
T0725,Traveler_725,Male,45,UK,Sydney,Leisure,Bus,Online,April,2024,4,21488,Standard,3,Monsoon
T0726,Traveler_726,Male,20,Singapore,Bangkok,Leisure,Flight,Agent,April,2023,10,49831,Budget,3,Monsoon
T0727,Traveler_727,Male,25,UK,Rome,Business,Bus,Online,September,2023,2,75955,Standard,5,Summer
T0728,Traveler_728,Female,31,Australia,Goa,Leisure,Bus,Online,May,2024,9,20214,Budget,5,Winter
T0729,Traveler_729,Female,56,India,Bangkok,Business,Train,Agent,September,2024,7,18928,Standard,4,Winter
T0730,Traveler_730,Female,41,Thailand,New York,Business,Bus,Online,November,2024,10,17045,Budget,5,Monsoon
T0731,Traveler_731,Male,52,France,Berlin,Business,Train,Agent,September,2024,3,80191,Budget,5,Monsoon
T0732,Traveler_732,Male,36,USA,New York,Business,Train,Online,February,2023,10,73630,Luxury,5,Monsoon
T0733,Traveler_733,Female,36,Australia,Paris,Leisure,Bus,Agent,July,2022,2,69487,Standard,3,Monsoon
T0734,Traveler_734,Female,51,France,Sydney,Business,Bus,Agent,December,2023,3,85567,Luxury,3,Winter
T0735,Traveler_735,Female,57,Germany,Dubai,Leisure,Train,Online,June,2022,7,77365,Budget,3,Winter
T0736,Traveler_736,Male,53,Singapore,Bangkok,Leisure,Bus,Agent,December,2024,2,109229,Standard,5,Monsoon
T0737,Traveler_737,Female,51,UAE,Sydney,Leisure,Bus,Online,January,2023,3,81276,Luxury,3,Winter
T0738,Traveler_738,Male,24,Germany,Goa,Business,Train,Online,September,2022,4,42710,Budget,5,Summer
T0739,Traveler_739,Female,41,Germany,Rome,Business,Bus,Online,February,2023,2,95091,Standard,5,Winter
T0740,Traveler_740,Male,29,Italy,Goa,Business,Train,Online,May,2022,9,26130,Luxury,4,Summer
T0741,Traveler_741,Male,28,USA,Dubai,Leisure,Train,Online,January,2023,9,53966,Luxury,3,Summer
T0742,Traveler_742,Male,36,Italy,Sydney,Leisure,Flight,Agent,May,2023,3,91459,Budget,3,Winter
T0743,Traveler_743,Male,25,Singapore,Paris,Leisure,Bus,Online,August,2023,4,26980,Luxury,3,Winter
T0744,Traveler_744,Male,58,Thailand,Goa,Business,Bus,Online,January,2023,9,82841,Standard,3,Summer
T0745,Traveler_745,Male,49,Australia,London,Leisure,Flight,Agent,February,2022,7,88604,Luxury,5,Monsoon
T0746,Traveler_746,Male,37,UAE,New York,Business,Flight,Agent,January,2023,8,99017,Luxury,5,Monsoon
T0747,Traveler_747,Male,50,Australia,Dubai,Leisure,Train,Agent,April,2022,10,19147,Budget,3,Summer
T0748,Traveler_748,Female,34,India,Berlin,Leisure,Flight,Online,February,2023,3,61794,Luxury,3,Summer
T0749,Traveler_749,Female,46,UAE,London,Leisure,Bus,Agent,July,2022,5,20835,Standard,5,Summer
T0750,Traveler_750,Male,23,France,Paris,Leisure,Train,Agent,December,2022,8,62154,Standard,5,Summer
T0751,Traveler_751,Female,30,Italy,Singapore,Business,Bus,Agent,April,2022,6,103300,Luxury,5,Monsoon
T0752,Traveler_752,Male,44,Singapore,Goa,Business,Bus,Online,September,2023,6,98547,Standard,4,Monsoon
T0753,Traveler_753,Female,60,Australia,London,Leisure,Flight,Agent,April,2024,2,106004,Budget,3,Summer
T0754,Traveler_754,Male,40,UK,Rome,Business,Bus,Agent,December,2024,7,17767,Luxury,4,Winter
T0755,Traveler_755,Female,25,Germany,Paris,Leisure,Flight,Online,September,2022,2,45529,Budget,5,Monsoon
T0756,Traveler_756,Male,60,Thailand,Dubai,Business,Bus,Agent,November,2023,8,103826,Budget,3,Monsoon
T0757,Traveler_757,Male,52,France,Dubai,Leisure,Flight,Agent,July,2024,8,44929,Luxury,3,Monsoon
T0758,Traveler_758,Male,34,Australia,Bangkok,Business,Bus,Agent,August,2022,9,48880,Luxury,4,Summer
T0759,Traveler_759,Male,56,UK,London,Leisure,Flight,Agent,June,2024,2,115177,Luxury,5,Winter
T0760,Traveler_760,Male,18,Germany,Paris,Leisure,Bus,Online,August,2024,3,33646,Budget,4,Summer
